filtres,nom_produit,description_produit,image_produit,categorie_produit,calories_produit,saison_produit,unit_type
,Mirabelle,La mirabelle est un fruit,mirabelle.jpg,fruits,62,ete,kg
,Mére,La mére est un fruit,mure.jpg,fruits,43,ete,kg
,Myrtille,La myrtille est un fruit,myrtille.jpg,fruits,57,ete,kg
,Navet,Le navet est un légume,navet.jpg,légumes,28,ete,pièce(s)
,Nectarine,La nectarine est un fruit,nectarine.jpg,fruits,44,ete,kg
,Noisette,La noisette est un fruit,noisette.jpg,fruits,628,ete,kg
,Noix,La noix est un fruit,noix.jpg,fruits,654,automne,kg
,Oignon,L'oignon est un légume,oignon.jpg,légumes,40,ete;automne;hiver;printemps,kg
,Orange,L'orange est un fruit,orange.jpg,fruits,47,automne;hiver,kg
,Orange sanguine,L'orange sanguine est un fruit,orange_sanguine.jpg,fruits,45,hiver,kg
,Pamplemousse,Le pamplemousse est un fruit,pamplemousse.jpg,fruits,42,hiver,pièce(s)
,Panais,Le panais est un légume,panais.jpg,légumes,75,automne,pièce(s)
,Papaye,La papaye est un fruit,papaye.jpg,fruits,44,hiver;printemps;ete;automne,pièce(s)
,Pastéque,La pastéque est un fruit,pasteque.jpg,fruits,30,ete,pièce(s)
,Pétisson,Le pétisson est un légume,patisson.jpg,légumes,18,ete,pièce(s)
,Péche,La péche est un fruit,peche.jpg,fruits,39,ete,kg
,Petit oignon blanc,Le petit oignon blanc est un légume,oignon_blanc.jpg,légumes,42,ete;automne;hiver,kg
,Petit pois,Le petit pois est un légume,petit_pois.jpg,légumes,82,ete,kg
,Poire,La poire est un fruit,poire.jpg,fruits,58,ete;automne,kg
,Poireau,Le poireau est un légume,poireau.jpg,légumes,61,automne;hiver,pièce(s)
,Pois mange-tout,Le pois mange-tout est un légume,pois_mange_tout.jpg,légumes,40,ete,kg
,Poivron,Le poivron est un légume,poivron.jpg,légumes,20,ete;automne,pièce(s)
,Pomme,La pomme est un fruit,pomme.jpg,fruits,52,automne;hiver,pièce(s)
,Pomme de terre,La pomme de terre est un légume,pomme_de_terre.jpg,légumes,77,ete;automne;hiver,kg
,Potimarron,Le potimarron est un légume,potimarron.jpg,légumes,26,automne,pièce(s)
,Potiron,Le potiron est un légume,potiron.jpg,légumes,26,ete;automne,pièce(s)
,Prune,La prune est un fruit,prune.jpg,fruits,46,ete,kg
,Quetsche,La quetsche est un fruit,quetsche.jpg,fruits,197,ete;automne,kg
,Radis,Le radis est un légume,radis.jpg,légumes,16,printemps,kg
,Radis long,Le radis long est un légume,radis_long.jpg,légumes,20,printemps,kg
,Raisin,Le raisin est un fruit,raisin.jpg,fruits,67,automne,kg
,Reine-claude,La reine-claude est un fruit,reine_claude.jpg,fruits,43,ete,kg
,Rhubarbe,La rhubarbe est un fruit,rhubarbe.jpg,fruits,21,printemps,kg
,Salsifis,Le salsifis est un légume,salsifis.jpg,légumes,80,automne;hiver,kg
,Tomate,La tomate est un fruit,tomate.jpg,fruits,18,automne;hiver,kg
,Tomate charnue,La tomate charnue est un fruit,tomate_charnue.jpg,fruits,16,printemps;ete,kg
,Tomate peretti,La tomate peretti est un fruit,tomate_peretti.jpg,fruits,15,ete,kg
,Topinambour,Le topinambour est un légume,topinambour.jpg,légumes,73,automne;hiver,kg
